,name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
73,The Lost Crown: A Ghosthunting Adventure,71.0,80.0,9.0,-9.0
74,Final Fantasy XV: Episode Prompto,65.0,66.0,1.0,-1.0
75,Starlink: Battle for Atlas,74.0,59.0,15.0,15.0
76,Rayman Raving Rabbids,58.0,72.0,14.0,-14.0
77,Fire Emblem: Path of Radiance,85.0,75.0,10.0,10.0
78,XCOM: Chimera Squad,77.0,81.0,4.0,-4.0
79,The Witness,87.0,82.0,5.0,5.0
80,Perimeter: Emperor's Testament,72.0,77.0,5.0,-5.0
81,Damnation,41.0,63.0,22.0,-22.0
82,Cold War,64.0,81.0,17.0,-17.0
83,Half-Life 2: Update,96.0,81.0,15.0,15.0
84,Spacebase DF-9,49.0,72.0,23.0,-23.0
85,Velvet Assassin,61.0,83.0,22.0,-22.0
86,Battleborn,69.0,72.0,3.0,-3.0
87,Streets of Rage 4,83.0,80.0,3.0,3.0
88,Four Last Things,83.0,72.0,11.0,11.0
89,AquaNox 2: Revelation,59.0,67.0,8.0,-8.0
90,Croixleur Sigma,56.0,83.0,27.0,-27.0
91,Owlboy,88.0,82.0,6.0,6.0
92,The Movies,84.0,73.0,11.0,11.0
93,Cossacks: Art of War,74.0,66.0,8.0,8.0
94,LEGO Star Wars - The Complete Saga,77.0,80.0,3.0,-3.0
95,Trials Rising,81.0,79.0,2.0,2.0
96,Wargame: Airland Battle,80.0,81.0,1.0,-1.0
97,FIFA 14,86.0,84.0,2.0,2.0
98,Phoning Home,61.0,77.0,16.0,-16.0
99,The Walking Dead: The Final Season,78.0,76.0,2.0,2.0
100,King Arthur: Fallen Champions,54.0,76.0,22.0,-22.0
101,Cossacks: Back to War,60.0,78.0,18.0,-18.0
102,Final Fantasy IX,84.0,90.0,6.0,-6.0
103,RONIN,70.0,80.0,10.0,-10.0
104,Broforce,83.0,87.0,4.0,-4.0
105,Crazy Taxi 2,82.0,87.0,5.0,-5.0
106,Fallout 3: Point Lookout,79.0,80.0,1.0,-1.0
107,Toukiden 2,73.0,72.0,1.0,1.0
108,Eternal Sonata,80.0,89.0,9.0,-9.0
109,Heroes of Might and Magic V,77.0,65.0,12.0,12.0
110,Legends of Runeterra,87.0,80.0,7.0,7.0
111,Warface: Ice Breaker,62.0,75.0,13.0,-13.0
112,Prototype 2,76.0,72.0,4.0,4.0
113,Crimsonland,68.0,83.0,15.0,-15.0
114,The Elder Scrolls V: Skyrim - Hearthfire,62.0,80.0,18.0,-18.0
115,Slay the Spire,87.0,75.0,12.0,12.0
116,Dex,62.0,76.0,14.0,-14.0
117,Styx: Shards of Darkness,72.0,85.0,13.0,-13.0
118,Bastion,86.0,83.0,3.0,3.0
119,Super Mario Maker,80.0,88.0,8.0,-8.0
120,Killzone 2,91.0,81.0,10.0,10.0
121,The Bug Butcher,81.0,76.0,5.0,5.0
122,Eurofighter Typhoon,69.0,73.0,4.0,-4.0
123,Yakuza 4,78.0,79.0,1.0,-1.0
124,Sonic Adventure 2 Battle,73.0,80.0,7.0,-7.0
125,Burly Men at Sea,82.0,66.0,16.0,16.0
126,Rabbids Go Home,78.0,79.0,1.0,-1.0
127,Through the Woods,63.0,69.0,6.0,-6.0
128,Fallout 76,51.0,72.0,21.0,-21.0
129,Prey - Mooncrash,80.0,78.0,2.0,2.0
130,Lords of the Fallen,73.0,88.0,15.0,-15.0
131,Star Trek: Bridge Crew,75.0,72.0,3.0,3.0
132,OlliOlli,78.0,82.0,4.0,-4.0
133,Natural Selection 2,80.0,65.0,15.0,15.0
134,Xenonauts,77.0,84.0,7.0,-7.0
135,The Void,77.0,70.0,7.0,7.0
136,SkyDrift,73.0,66.0,7.0,7.0
137,Space Hulk,58.0,76.0,18.0,-18.0
138,Tokyo Xanadu eX+,75.0,70.0,5.0,5.0
139,LEGO Indiana Jones: The Original Adventures,78.0,80.0,2.0,-2.0
140,The Legend of Zelda: Breath of the Wild,97.0,88.0,9.0,9.0
